ANTONY,RW,81
ALEXANDER ISAK,ST,81
WILFRIED ZAHA,LW,81
HOUSSEM AOUAR,CM,76
NICOLO BARELLA,RM,86
RYAN GRAVENBERCH,LM,79
DESTINY UDOGIE,LB,78
CHRIS SMALLING,LCB,84
SVEN BOTMAN,RCB,83
MALO GUSTO,RB,76
NICK POPE,GK,84
LIONEL MESSI,RW,90
CRISTIANO RONALDO,ST,99
TONI KROOS,CM,86
GARNACHO,LW,75
HARRY KANE,ST,90
SON,LW,87
COLE PALMER,CM,66
STERLING,LW,83
ENZO,CM,83
JAMAL MUSIALA,RM,86
JUDE BELLINGHAM,CM,86
JEREMY DOKU,RW,77
MARCUS RASHFORD,LW,85
SOFYAN AMRABAT,RM,80
RASMUS HOJLUND,ST,76
PEDRI,CM,86
PABLO GAVI,LM,83
WILLIAM SALIBA,RCB,83
DAYOT UPAMECANO,LCB,82
KEVIN DE BRUYNE,CM,99
KARIM BENZEMA,ST,90
JOSHUA KIMMICH,CM,88
JAN OBLAK,GK,88
ANDREAS CHRISTENSEN,RCB,83
ANDREAS PEREIRA,RM,77
KVARATSKHELIA,LW,86
BASTONI,LCB,85
REECE JAMES,RB,84
FERLAND MENDY,LB,82
MIKE MAIGNAN,GK,87
MBAPPE,ST,91
FRED,RM,81
MALACIA,LB,78
RICO LEWIS,LB,73
